
35.0,25.0,22.0,20.0,54.0,69.0,32.0,
9.0,6.0,4.0,35.0,74.0,69.0,16.0,
32.0,64.0,74.0,66.0,63.0,71.0,54.0,
52.0,76.0,99.0,28.0,97.0,5.0,96.0,
97.0,29.0,63.0,53.0,20.0,32.0,83.0,
38.0,86.0,19.0,85.0,60.0,99.0,8.0,
41.0,97.0,10.0,17.0,41.0,55.0,38.0,
12.0,14.0,44.0,34.0,11.0,79.0,48.0,
95.0,91.0,16.0,92.0,73.0,80.0,38.0,
34.0,73.0,73.0,8.0,47.0,83.0,86.0,
87.0,32.0,45.0,1.0,68.0,76.0,83.0,
16.0,16.0,12.0,15.0,6.0,96.0,44.0,
21.0,78.0,36.0,67.0,61.0,51.0,8.0,
47.0,15.0,4.0,37.0,3.0,82.0,36.0,
31.0,63.0,28.0,78.0,57.0,27.0,19.0,
6.0,23.0,56.0,71.0,64.0,2.0,97.0,
88.0,92.0,44.0,63.0,74.0,41.0,92.0,
28.0,23.0,52.0,26.0,3.0,35.0,74.0,
19.0,55.0,91.0,58.0,60.0,69.0,11.0,
80.0,38.0,2.0,76.0,94.0,55.0,28.0,
32.0,47.0,10.0,84.0,98.0,74.0,94.0,
19.0,72.0,80.0,74.0,91.0,53.0,53.0,
76.0,96.0,83.0,93.0,17.0,81.0,81.0,
3.0,12.0,31.0,70.0,16.0,38.0,94.0,
71.0,50.0,36.0,97.0,18.0,27.0,70.0,
78.0,63.0,13.0,5.0,92.0,34.0,17.0,
83.0,7.0,39.0,64.0,85.0,12.0,54.0,
60.0,87.0,40.0,25.0,1.0,48.0,43.0,
80.0,75.0,61.0,9.0,95.0,84.0,92.0,
98.0,94.0,15.0,85.0,14.0,15.0,71.0,
17.0,50.0,5.0,8.0,93.0,26.0,62.0,
70.0,82.0,35.0,21.0,2.0,3.0,30.0,
12.0,43.0,25.0,49.0,61.0,92.0,88.0,
93.0,75.0,31.0,30.0,96.0,66.0,26.0,
84.0,27.0,98.0,79.0,27.0,7.0,10.0,
91.0,94.0,2.0,95.0,4.0,21.0,38.0,
22.0,91.0,89.0,47.0,18.0,41.0,75.0,
89.0,38.0,85.0,60.0,95.0,89.0,63.0,
46.0,43.0,46.0,63.0,96.0,22.0,48.0,
54.0,84.0,76.0,76.0,82.0,14.0,4.0,
52.0,30.0,36.0,1.0,37.0,32.0,21.0,
98.0,70.0,45.0,73.0,41.0,92.0,69.0,
54.0,89.0,87.0,64.0,83.0,45.0,27.0,
70.0,78.0,37.0,71.0,8.0,7.0,52.0,
15.0,39.0,17.0,31.0,68.0,61.0,29.0,
24.0,38.0,32.0,42.0,97.0,8.0,51.0,
59.0,32.0,85.0,11.0,72.0,3.0,70.0,
7.0,2.0,15.0,77.0,94.0,69.0,54.0,
40.0,75.0,95.0,92.0,43.0,14.0,63.0,
25.0,97.0,53.0,74.0,67.0,51.0,93.0,
39.0,56.0,10.0,73.0,76.0,53.0,75.0,
2.0,55.0,86.0,61.0,71.0,8.0,88.0,
59.0,78.0,27.0,88.0,7.0,29.0,31.0,
64.0,36.0,25.0,14.0,85.0,47.0,94.0,
35.0,58.0,77.0,29.0,97.0,78.0,74.0,
66.0,90.0,71.0,3.0,2.0,2.0,13.0,
69.0,61.0,84.0,16.0,85.0,25.0,55.0,
8.0,84.0,16.0,22.0,47.0,21.0,80.0,
36.0,91.0,87.0,46.0,1.0,4.0,48.0,
32.0,11.0,10.0,59.0,39.0,24.0,27.0,
61.0,43.0,35.0,81.0,24.0,98.0,72.0,
51.0,93.0,33.0,48.0,97.0,28.0,18.0,
38.0,41.0,70.0,61.0,85.0,19.0,74.0,
99.0,14.0,25.0,64.0,65.0,60.0,15.0,
72.0,56.0,63.0,19.0,75.0,15.0,64.0,
45.0,60.0,54.0,48.0,12.0,85.0,33.0,
5.0,22.0,67.0,87.0,22.0,52.0,26.0,
19.0,92.0,90.0,40.0,81.0,52.0,14.0,
7.0,77.0,97.0,13.0,53.0,90.0,22.0,
87.0,17.0,36.0,92.0,50.0,50.0,20.0,
45.0,41.0,54.0,98.0,89.0,63.0,19.0,
46.0,43.0,61.0,59.0,44.0,15.0,39.0,
22.0,41.0,74.0,17.0,34.0,98.0,34.0,
13.0,61.0,58.0,41.0,81.0,32.0,63.0,
81.0,21.0,13.0,83.0,20.0,69.0,76.0,
62.0,89.0,92.0,89.0,8.0,65.0,31.0,
70.0,12.0,61.0,48.0,5.0,76.0,64.0,
43.0,16.0,11.0,38.0,68.0,26.0,23.0,
91.0,69.0,78.0,41.0,69.0,83.0,87.0,
64.0,60.0,26.0,39.0,66.0,90.0,98.0,
35.0,40.0,16.0,36.0,32.0,50.0,7.0,
72.0,54.0,86.0,37.0,60.0,20.0,86.0,
39.0,37.0,70.0,66.0,66.0,17.0,93.0,
74.0,47.0,26.0,64.0,94.0,85.0,68.0,
59.0,3.0,64.0,64.0,46.0,41.0,46.0,
75.0,36.0,84.0,26.0,68.0,17.0,71.0,
28.0,68.0,49.0,45.0,61.0,19.0,66.0,
6.0,93.0,79.0,77.0,39.0,61.0,39.0,
91.0,18.0,78.0,68.0,93.0,51.0,34.0,
84.0,86.0,62.0,35.0,2.0,25.0,55.0,
25.0,73.0,52.0,80.0,41.0,24.0,51.0,
85.0,69.0,1.0,89.0,93.0,15.0,79.0,
99.0,96.0,28.0,58.0,50.0,14.0,3.0,
1.0,98.0,70.0,12.0,4.0,52.0,83.0,
1.0,64.0,54.0,69.0,95.0,8.0,94.0,
43.0,7.0,94.0,53.0,50.0,4.0,2.0,
11.0,67.0,70.0,89.0,79.0,49.0,1.0,
67.0,75.0,71.0,97.0,86.0,69.0,1.0,
94.0,23.0,75.0,84.0,52.0,92.0,64.0,
67.0,38.0,86.0,40.0,11.0,37.0,6.0,
7.0,23.0,5.0,96.0,23.0,12.0,32.0,
13.0,75.0,12.0,57.0,39.0,33.0,24.0,
6.0,11.0,31.0,42.0,60.0,46.0,8.0,
60.0,86.0,20.0,77.0,26.0,92.0,54.0,
71.0,64.0,11.0,44.0,19.0,68.0,76.0,
35.0,47.0,85.0,45.0,96.0,39.0,60.0,
74.0,74.0,91.0,19.0,13.0,85.0,30.0,
73.0,61.0,59.0,98.0,25.0,87.0,57.0,
2.0,21.0,81.0,53.0,39.0,94.0,65.0,
39.0,73.0,26.0,86.0,64.0,24.0,21.0,
60.0,30.0,69.0,18.0,71.0,15.0,24.0,
63.0,57.0,10.0,64.0,21.0,58.0,18.0,
88.0,89.0,82.0,29.0,32.0,31.0,10.0,
63.0,17.0,13.0,44.0,80.0,52.0,17.0,
98.0,5.0,38.0,16.0,71.0,65.0,91.0,
9.0,44.0,46.0,14.0,91.0,66.0,41.0,
33.0,13.0,52.0,94.0,3.0,84.0,30.0,
41.0,64.0,11.0,11.0,72.0,31.0,5.0,
16.0,36.0,19.0,68.0,54.0,24.0,71.0,
42.0,68.0,4.0,26.0,3.0,92.0,10.0,
40.0,19.0,18.0,81.0,53.0,1.0,20.0,
6.0,9.0,95.0,71.0,38.0,41.0,30.0,
96.0,77.0,10.0,49.0,45.0,2.0,14.0,
49.0,23.0,76.0,43.0,56.0,33.0,18.0,
24.0,57.0,46.0,52.0,6.0,54.0,48.0,
2.0,58.0,39.0,53.0,45.0,72.0,65.0,
12.0,33.0,69.0,21.0,13.0,7.0,4.0,
85.0,52.0,76.0,48.0,13.0,87.0,67.0,
62.0,37.0,53.0,14.0,49.0,4.0,82.0,
72.0,62.0,66.0,21.0,77.0,7.0,14.0,
72.0,55.0,85.0,9.0,51.0,5.0,92.0,
41.0,99.0,67.0,31.0,84.0,34.0,73.0,
49.0,41.0,55.0,47.0,98.0,19.0,43.0,
45.0,63.0,16.0,81.0,72.0,7.0,79.0,
